id_smlouvy,celkova_spotreba,cena_za_mwh,mena,celkova_cena v CZK
1000,958830.3956684127,3514.5512302554907,CZK,3369858546.702779
1001,872163.8214694377,5865.009630964585,CZK,5115249212.697129
1002,891602.9116514458,2045.2632199302318,EUR,72942505.67933625
1003,937469.352627824,3855.8678371017863,CZK,3614757925.0662594
1004,917832.123075975,2489.5067781239964,CZK,2284949291.5775776
1005,905799.03966308,5151.813166036945,CZK,4666507418.319877
1006,914781.493494588,3079.7105817005813,EUR,112690489.81836577
1007,934277.2424089646,2568.639749249446,CZK,2399821661.670827
1008,918530.4007343797,4694.906207150139,CZK,4312414079.863944
1009,920291.1826246218,3125.045992416298,CZK,2875952272.11713
1010,854888.2119377767,4775.918651924241,CZK,4082876556.703791
1011,915459.7140139906,2973.814634958213,CZK,2722407495.2494655
1012,885378.4558073806,2533.5777737979342,CZK,2243175177.033116
1013,934618.4427574065,2735.133964927117,CZK,2556306647.033073
1014,913637.1397115324,1964.7675831401052,EUR,71803385.39432265
1015,964909.480471946,3616.200018747908,CZK,3489305681.372685
1016,941726.8142028657,3171.8459801254894,EUR,119480496.40022972
1017,903790.6882238926,3985.813631873382,CZK,3602341245.4830165
1018,880354.738724054,3979.20876853592,EUR,140124611.83011618
1019,903819.2259038186,5541.941339560246,EUR,200356525.26102853
1020,905111.1748458907,3643.8030263774917,CZK,3298046838.1115437
1021,923033.2806177839,3817.3099390301704,CZK,3523504116.157891
1022,921660.8900153581,3327.709013267582,CZK,3067019250.8803287
1023,939977.0579968318,5007.200781956067,EUR,188266154.39289996
1024,909194.148292794,2546.65010198764,EUR,92615974.81905638
1025,894253.2819347627,5535.1077953063195,CZK,4949788311.815365
1026,845501.6376454268,4041.7139944887504,EUR,136691032.0493871
1027,922124.3001332021,4890.575464490403,CZK,4509718477.441822
1028,899380.6949305783,3106.2543773361685,EUR,111748208.82079017
1029,932403.5602339776,5806.591687234659,CZK,5414086762.002615
1030,915954.1693202312,3809.116575467204,CZK,3488976208.7259865
1031,924458.9967725878,4644.160307775617,CZK,4293335778.9773197
1032,943392.2716317079,5559.5296300788505,CZK,5244817286.923876
1033,868340.0886153955,1950.7051059901269,CZK,1693875444.5979712
1034,925669.9465419716,5720.243673364609,EUR,211802306.21321878
1035,903615.988066309,1988.8496993832557,CZK,1797156386.2235823
1036,995665.3855669928,3721.1086474227795,CZK,3704979076.172873
1037,917935.5891658813,3348.110590464372,EUR,122933994.6980176
1038,862422.5104963925,2989.6042080915813,CZK,2578301966.532921
1039,947855.4584563983,5905.304689130946,CZK,5597375283.440931
1040,906536.8479598855,4639.921368211799,CZK,4206259691.9204435
1041,969334.8671795335,3585.045121917246,CZK,3475109237.086288
1042,905018.4248858467,2960.593715339708,EUR,107175674.43934718
1043,894895.0867891308,5701.959303326498,CZK,5102655365.618459
1044,906421.5623674494,2819.217758690391,CZK,2555399765.486203
1045,929915.1778909253,5121.952160583719,EUR,190519242.18232074
1046,930629.5535730338,5691.005551179758,CZK,5296217955.476075
1047,924862.523381033,2480.370882295805,CZK,2294002073.1209373
1048,932119.7093903859,4176.546645491489,CZK,3893041445.4509172
1049,943055.7433631131,4999.683529548578,CZK,4714980267.538748
1050,915433.170329765,4041.629460819331,CZK,3699841670.616019
1051,896099.1203832014,2899.97886647218,CZK,2598668511.375594
1052,927306.3379552691,1923.457588242152,CZK,1783634412.365104
1053,871008.059427909,5468.592841520777,CZK,4763188438.694366
1054,947244.8672567676,5461.598765456996,EUR,206938855.90380153
1055,937213.9472050547,3594.6221047945164,CZK,3368929971.5450106
1056,920087.881996643,3363.308292377881,CZK,3094539203.2357106
1057,877685.596745371,5341.837898848036,CZK,4688454183.967478
1058,893512.9793059645,4376.612364777302,CZK,3910559953.31949
1059,927692.8924668566,3591.345690929441,CZK,3331665871.866715
1060,918431.039197781,4958.675487782326,CZK,4554201481.288486
1061,870113.3465410449,3916.2457324142097,EUR,136303107.20432052
1062,943058.6846402709,5077.086385858629,EUR,191519616.35411462
1063,914420.3280907152,2001.8752724997244,CZK,1830555443.4758878
1064,937596.0379286673,2928.4436994027465,CZK,2745697209.857184
1065,928729.721874176,5342.876995905324,CZK,4962088666.415085
1066,929057.427511057,5565.984697908505,CZK,5171119425.004784
1067,968682.1521086036,5876.7368596631695,CZK,5692690108.594476
1068,965270.6657325112,2308.4904337764146,CZK,2228318097.848493
1069,905057.4732642397,5078.527085008921,CZK,4596358891.462179
1070,919034.4608485687,3296.6037611398788,CZK,3029692460.250552
1071,905739.0740061521,3667.8032435652694,CZK,3322072713.463568
1072,898695.1828730346,5110.724463786636,CZK,4592983456.596423
1073,881687.8606303437,5731.111255302803,CZK,5053051221.722412
1074,923915.9269925831,2941.9839507584857,CZK,2718145829.0623283
1075,890353.2738845614,1800.570616648481,CZK,1603143943.3933187
1076,908415.6888255053,2532.505829504719,EUR,92022721.10256548
1077,877992.4395726227,4972.357416406979,CZK,4365692218.458186
1078,898287.7939554381,2357.5496191486836,CZK,2117758046.5255542
1079,903029.9984024946,3570.564320504608,CZK,3224326692.64128
1080,895171.200251916,3314.4658560119506,EUR,118680575.14080846
1081,951470.250716704,3096.9575258611976,CZK,2946662953.590137
1082,879891.5962979482,4116.499571402834,CZK,3622073379.0414586
1083,900287.8412470798,4125.700175612223,EUR,148572708.18938503
1084,914902.7713194728,4809.517352663395,CZK,4400240754.660834
1085,909999.1447437246,2197.2731161507954,CZK,1999516656.4656024
1086,885616.8932761849,3688.1543323067694,EUR,130651671.26802492
1087,903754.1267015095,3883.309285308071,EUR,140382271.67421836
1088,919641.7759453845,5995.796709072225,CZK,5513985133.738673
1089,925226.4720801978,4763.076637632155,CZK,4406924593.68401
1090,891596.9566391733,3635.9815740079275,EUR,129673204.23126318
1091,867217.7898569814,3422.3364189003887,CZK,2967911025.3458514
1092,861166.8926375834,5154.2019022508575,CZK,4438628036.188092
1093,917545.3165007217,3986.8055365830023,CZK,3658074747.8908806
1094,898983.5896088673,3550.545663891504,CZK,3191882285.995383
1095,900253.8904433211,3799.157566461694,CZK,3420206379.6143203
1096,870766.1253189957,4655.569526112615,CZK,4053912237.4062743
1097,875713.819991147,1813.1700491127056,CZK,1587818070.002023
